         1633960 function calls (1596512 primitive calls) in 3.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     30/3    0.000    0.000    0.009    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
     16/3    0.000    0.000    0.009    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:407(draw)
    17024    0.004    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/__init__.py:725(__getitem__)
      8/3    0.000    0.000    0.009    0.003 <frozen importlib._bootstrap_external>:934(exec_module)
   115051    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.009    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:643(__init__)
      8/3    0.000    0.000    0.008    0.003 {built-in method builtins.exec}
    72/69    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      6/3    0.000    0.000    0.008    0.003 {built-in method builtins.__import__}
        6    0.000    0.000    0.008    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:2233(__init__)
      170    0.000    0.000    0.008    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1270(_find_fonts_by_props)
     2690    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(amin)
     3624    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(argsort)
       57    0.000    0.000    0.007    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/ticker.py:427(__init__)
     2706    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(amax)
     1080    0.002    0.000    0.007    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     8299    0.007    0.000    0.007    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:108(_clip_dep_invoke_with_casting)
       57    0.000    0.000    0.007    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/ticker.py:533(set_useMathText)
     3624    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(take)
        1    0.000    0.000    0.007    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1397(cla)
    44/23    0.000    0.000    0.007    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
       12    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
     1100    0.002    0.000    0.007    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1452(_scale_parameters)
    54121    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
        4    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
      158    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/patches.py:262(get_transform)
        4    0.006    0.002    0.006    0.002 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.006    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:2294(_update_label_position)
     6603    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
       48    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/ticker.py:2134(__call__)
       71    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:200(draw_text)
        8    0.000    0.000    0.006    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:359(_warn_if_gui_out_of_main_thread)
       20    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:198(_get_backend_mod)
      2/1    0.000    0.000    0.006    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:212(switch_backend)
    44/23    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:512(<listcomp>)
       27    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
       13    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
     2690    0.001    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2829(amin)
    36707    0.004    0.000    0.006    0.000 {built-in method builtins.getattr}
    18/12    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:474(_get_bbox_and_child_offsets)
       48    0.000    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/ticker.py:2138(tick_values)
      133    0.001    0.000    0.006    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/patches.py:742(get_patch_transform)
        1    0.000    0.000    0.006    0.006 /Users/nico/anaconda3/lib/python3.11/importlib/__init__.py:108(import_module)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:1192(_gcd_import)
